comment,eng,neg,neu,pos,com,ncr1Vadr,ncr2Vadr,ncr1Hand,ncr2Hand
"Let's go Brandon the kid toucher president

Beautiful Patriot song 
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Beautiful Patriot song 
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Beautiful Patriot song 
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Beautiful Patriot song 
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Beautiful Patriot song 
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Beautiful Patriot song 
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Great song 🇺🇸🇺🇸DANCE TO THE BEAT Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB      
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB       
#FJB
Let's go Brandon 🇺🇸 Let's go Brandon 🇺🇸
#FJB
#FJB",FALSE,0,0.935,0.065,0.9975,0,0,1,1
That's  an assault charge! She could have burned that lady!,TRUE,0.328,0.672,0,-0.658,1,1,0,1
Biden is going out of his way to not make sense. His decisions beggars belief.,TRUE,0,1,0,0,0,0,0,1
"It's not about safety anymore, if it ever was. It's all about compliance now. Dems want to see how many people will accept total government control. C-vax today, ??? tomorrow.",TRUE,0.069,0.799,0.131,0.2751,0,1,0,1
"Kids: Helllo! :D

Adults: Did you get the Covid Vaccine? Huh? HUH??????",TRUE,0,0.675,0.325,0.7419,0,0,0,0
"With this type of history, this man should have been arrested a long time ago.",TRUE,0.181,0.819,0,-0.4767,1,1,1,1
The housing market is up all because Democrats are fleeing the states that they turn into burning heaps of crap,TRUE,0.12,0.88,0,-0.3818,1,1,1,1
Wow. NYT doing actual good work in spite of capitalist sociopathy,TRUE,0.188,0.442,0.37,0.5106,0,1,0,0
I wouldn’t want crankavich for a nurse! Yikes!,TRUE,0,0.788,0.212,0.2225,0,0,0,0
"""who wants change?""
""me!""
""who wants to change?""
"".....""",TRUE,0,1,0,0,0,0,0,0
